iter	Passed	Remaining
0	15890	13538651
1	28667	12197947
2	42477	12035280
3	54806	11632766
4	68084	11547095
5	83240	11750715
6	98223	11871000
7	112440	11876509
8	124613	11685983
9	138902	11709520
10	153145	11722555
11	166657	11679896
12	180052	11634158
13	193780	11613015
14	208301	11637110
15	222680	11648971
16	234892	11551207
17	248502	11527769
18	261283	11468949
19	275211	11462547
20	287549	11392418
21	302303	11418812
22	317598	11461175
23	331897	11464306
24	347549	11510833
25	362271	11523005
26	376996	11533299
27	390738	11512828
28	404166	11483910
29	420200	11527500
30	433338	11490470
31	448218	11499610
32	462030	11480758
33	476734	11483685
34	491084	11477343
35	503905	11435864
36	516676	11394808
37	532044	11410949
38	546061	11397288
39	561123	11404836
40	574194	11371851
41	588436	11362436
42	603915	11376084
43	618664	11374994
44	633575	11376205
45	646668	11344806
46	658832	11298268
47	671581	11262981
48	687645	11282994
49	702136	11276308
50	716176	11262233
51	731414	11266597
52	745161	11247720
53	763938	11303455
54	777992	11287965
55	793008	11286213
56	806352	11260641
57	819735	11236030
58	831598	11191349
59	844789	11165296
60	859824	11163617
61	877563	11196017
62	890677	11168812
63	906477	11175170
64	921680	11173603
65	939586	11203853
66	955068	11204233
67	968852	11184551
68	981714	11154554
69	997979	11163108
70	1012436	11151058771	1027822	11149020772	1041789	11131451773	1056379	11120533774	1071915	11119339775	1090873	11152743776	1108612	11172513
77	1129412	11221730
78	1150815	11275079779	1169062	11296071
80	1191773	11358629
81	1219250	11463924
82	1233846	11446528
83	1248798	11432454
84	1278329	11550083
85	1298498	11580793
86	1312720	11557971
87	1325542	11523180
88	1337335	11480052
89	1351722	11459606
90	1363757	11419593
91	1376666	11387423992	1399120	11433675
93	1414852	11424182
94	1430111	11410785
95	1442800	11377082
96	1457298	11357911
97	1470620	11329780
98	1484042	11302705
99	1500496	112987411100	1515225	112816791101	1529381	112604461102	1544728	112480241103	1565661	11275775
104	1583741	112822751105	1604676	113084251106	1626318	113386301107	1644503	113440271108	1662461	113474401109	1681868	11360257110	1709151	11425141
111	1731894	11458334
112	1745240	11429006
113	1765140	11442447
114	1779227	11417997
115	1799847	11435240
116	1814586	11414836
117	1824793	11366295
118	1840570	11352760
1119	1847362	11284304120	1867506	11297644
121	1880715	11268879
122	1894069	11241227
1123	1902395	111842421124	1915508	111559191125	1931882	111466541126	1946558	111275721127	1959137	110966741128	1970567	110596201129	1985528	110425911130	2003604	110427641131	2020267	110349471132	2036115	110225791133	2050009	109996781134	2064792	109816371135	2085174	109931601136	2102746	10989534
137	2119378	10980840
138	2137013	10977176
139	2156735	10983943
140	2172211	10968896
141	2196393	10997435
142	2213439	10989805
143	2232450	10991717
144	2245858	10965987
145	2260223	10945052
146	2273562	10919287
147	2287269	10895438
148	2304421	10888005
149	2323642	10890136
150	2341726	10886702
151	2360822	10887742
152	2378313	10881173
153	2397586	10882551
154	2414831	10874533
155	2433448	10872523
156	2449594	10859347
157	2468956	10860282
158	2485244	10847546
159	2505302	10851090
160	2524089	10848880
161	2549074	10872905
162	2566089	10862586
163	2586586	10866816
164	2601816	10848787
165	2621082	10847490
166	2641632	10851257
167	2667510	10876456
168	2687452	10877025
169	2703956	10863541
170	2719151	10844804
171	2732672	10819474
172	2746356	10794926
173	2762406	10779737
174	2777499	10760827
175	2794119	10747835
176	2810383	10733442
177	2822880	10704741
178	2840041	10693786
179	2857546	10684048
180	2875762	10676863
181	2892428	10663842
182	2908004	10646793
183	2925640	10637248
184	2941643	10621718
185	2960208	10615371
186	2977384	10603947
187	2993914	10590177
188	3009426	10572800
189	3026869	10562181
190	3042172	10544073
191	3059175	10531850
192	3074819	10514925
193	3091260	10500724
194	3108099	10487842
195	3125953	10478322
196	3142903	10465710
197	3156870	10443182
198	3174367	10432343
199	3189508	10413743
200	3203985	10393028
201	3217788	10370198
202	3233567	10353788
203	3249037	10336399
204	3262794	10313615
205	3281637	10306889
206	3297772	10291597
207	3312210	10271035
208	3329940	10260677
209	3346591	10246945
210	3363729	10234665
211	3379424	10217975
212	3394661	10199922
213	3409834	10181702
214	3424924	10163264
215	3440840	10147292
216	3454816	10125636
217	3470000	10107570
218	3488054	10097837
219	3504321	10082887
220	3522545	10073522
221	3539376	10060119
222	3556509	10047536
223	3573750	10035218
224	3592589	10027316
225	3607150	10007449
226	3622192	9988954
227	3639268	9976064
228	3655029	9959557
229	3672341	9947255
230	3689764	9935211
231	3705474	9918533
232	3724628	9911029
233	3742037	9898807
234	3759479	9886631
235	3775150	9869779
236	3792014	9856037
237	3810452	9846336
238	3829851	9839033
239	3844660	9819904
240	3861453	9805848
241	3878864	9793331
242	3896121	9780387
243	3911643	9763078
244	3926959	9745271
245	3945501	9735444
246	3962086	9720746
247	3981481	9712888
248	4000514	9704059
249	4018021	9691467
250	4034453	9676258
251	4051426	9662330
252	4071465	9655648
253	4083224	9629336
254	4100950	9617131
255	4120439	9608993
256	4140847	9602899
257	4165383	9606214
258	4185084	9598224
259	4205215	9591126
260	4220136	9572111
261	4234794	9552533
262	4249392	9532857
263	4264404	9514144
264	4281456	9499986
265	4296805	9482048
266	4313737	9467602
267	4330999	9453861
268	4346573	9436427
269	4363310	9421517
270	4379881	9406239
271	4398027	9394316
272	4415884	9381731
273	4432941	9367420
274	4450972	9355134
275	4467947	9340599
276	4485645	9327552
277	4500835	9309281
278	4518521	9296169
279	4535592	9281766
280	4552634	9267284
281	4568353	9250106
282	4585053	9234913
283	4599999	9216196
284	4616978	9201557
285	4632886	9184779
286	4648791	9168000
287	4666332	9154437
288	4685876	9144755
289	4701081	9126581
290	4719665	9114955
291	4734444	9095969
292	4748096	9074860
293	4761335	9053014
294	4774433	9030962
295	4794374	9021845
296	4808332	9001458
297	4820534	8977841
298	4833790	8956253
299	4847162	8934935
300	4861427	8915308
301	4877227	8898517
302	4891218	8878449
303	4905405	8858774
304	4916622	8833800
305	4933486	8819010
306	4949571	8802821
307	4966455	8788045
308	4982683	8772103
309	4998431	8755316
310	5022035	8752229
311	5038994	8737486
312	5055281	8721572
313	5073710	8709331
314	5086788	8687912
315	5100030	8666824
316	5118053	8653869
317	5132750	8635287
318	5152810	8625708
319	5170374	8611904
320	5187694	8597674
321	5205469	858322	5322	5224975	857323	5323	5242221	8559058
324	5260274	8545923
325	5281332	8537614
326	5302611	8529582
327	5323049	8520125
328	5341439	8507338
329	5361188	8496671
330	5379760	8484092
331	5394203	8465000
332	5410640	8449047
333	5429679	8437136
334	5448353	8424618
335	5468019	8413588
336	5486709	8401015
337	5500744	8381311
338	5514210	8360779
339	5529210	8342602
340	5543153	832341	5341	5561921	831342	5342	5578901	829343	5343344	5576567	344	5344	5619995	827345	5345346	5613735	346	5346	5652942	824347	5347348	5646027	348	5348349	5659966	349	5349350	5676746	350	5350351	5696021	351	5351352	5713791	352	5352353	5730694	353	5353354	5747332	354	5354355	5763886	355	5355356	5786745	356	5356357	5810414	357	5357358	5828972	358	5358359	5847477	359	5359360	5861660	360	5360361	5880829	361	5361	5919399	802362	5362	5939231	801363	5363	5955993	800364	6364	5971593	798365	6365	5988861	796366	6366	6006247	795367	6367	6025824	794368	6368	6042690	792369	6369	6057778	790370	6370	6072894	788371	6371	6088923	787372	6372	6103340	785373	6373	6116457	783374	6374	6128117	781375	6375	6140645	779376	6376	6152533	776377	6377	6165575	774378	6378	6177363	772379	6379	6191447	770380	6380	6205321	768381	6381	6218409	766382	6382	6229466	764383	6383	6240762	762384	6384	6251679	759385	6385	6262564	757386	6386	6275156	755387	6387	6287589	753388	6352112	7576812
389	6364745	7556095
390	6377229	7535243
391	6390263	7515079
392	6402802	7494374
393	6393	6363134	741394	6394	6376182	739395	6395	6390222	737396	6396	6402903	735397	6397	6414194	733398	6479013	7372110
399	6399	6438740	729400	6504731	7332016
401	6401	6465452	725402	6402	6478664	723403	6403	6490509	721404	6404	6502137	719405	6405	6515357	717406	6406	6527724	715407	6407	6540652	713408	6408	6552388	711409	6409	6564194	709410	6410	6576426	707411	6411	6587852	705412	6412	6600246	703413	6413	6612875	701414	6414	6625819	699415	6415	6637755	697416	6416	6649064	695417	6417	6660644	693418	6418	6672746	691419	6419	6685673	689420	6420	6697391	687421	6763958	6908213
422	6776709	6888853
423	6789419	6869483
424	6801794	6849806
425	6814920	6830918
426	6826301	6810314
427	6839083	6791146
428	6428	6796358	671429	6429	6808914	669430	6430	6822561	668431	6431	6836124	666432	6906837	6699472
433	6921279	6682065
434	6935153	6664124
435	6948400	6645602
436	6960407	6625925
437	6973644	6607448
438	6986283	6588431
439	6998232	6568795
440	7009244	6548318
441	7020976	6528554
442	7034229	6510234
443	7046673	6491192
444	7059750	6472759
445	7072438	6453996
446	7085187	6435315
447	7098618	6417278
448	7109866	6397296
449	7121580	6377771
450	7133999	6358908
451	7145872	6339590
452	7159822	6322139
453	7172712	6303771
454	7185327	6285187
455	7197900	6266593
456	7210206	6247794
457	7223165	6229585
458	7235922	6211227
459	7249083	6193239
460	7260793	6174036
461	7272569	6154923
462	7282879	6134607
463	7295680	6116421
464	7311846	6101067
465	7327511	6085293
466	7339180	6066217
467	7352164	6048255
468	7363530	6028988
469	7377437	6011826
470	7390580	5994059
471	7405181	5977487
472	7417999	5959491
473	7428720	5939841
474	7441507	5921873
475	7453580	5903360
476	7466632	5885647
477	7479260	5867620
478	7490273	5848355
479	7502124	5829775
480	7513133	5810572
481	7523842	5791173
482	7536421	5773242
483	7548866	5755231
484	7565620	5740512
485	7579732	5723789
486	7593566	5706869
487	7605072	5688220
488	7619464	5671748
489	7635536	5656529
490	7653214	5642492
491	7666664	5625337
492	7680076	5608169
493	7691538	5589600
494	7709484	5575748
495	7728847	5562900
496	7744254	5547192
497	7757964	5530275
498	7772945	5514273
499	7787403	5497907
500	7802736	5482162
501	7814869	5464181
502	7827581	5446627
9497
503	7759294	5373003
504	7774218	5357283
87
506	7771349	5303524
507	7733507	7769211	5276334
74509	7749420	5509	7760905	5219589
